Biotsiidi kaubanduslik nimetus;Toimeaine;CAS nr.;Biotsiidi tooteliik;Biotsiidi registreerimistunnistuse kehtivuse aeg;Biotsiidi registreerimistunnistuse omanik;Toimeaine sisaldus;Märkused
"SANYTOL CLEANER DISINFECTANT FLOOR AND SURFACES; SANYTOL desinfitseeriv puhastusvahend põrandatele ja muudele kõvadele pindadele";Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 2;31.12.2024;Grupo AC Marca;0,005;Tarbija kasutamiseks
NEOPREDISAN 135-1;Klorokresool;59-50-7;Tooteliik 3;1.05.2021;MENNO CHEMIE-VERTRIEB GmbH;0,25;"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2016/1930 (TL1, 2, 3, 6, 9)"
"SeaConomy 700 (Punakaspruun, pruun); SeaConomy 700 (Red brown, Brown)";"1) Tsineeb; 2) Divaskoksiid";"1) 12122-67-7; 2) 1317-39-1";Tooteliik 21;1.01.2021;Jotun A/S;"1) 7,5%; 2) 21,7%";"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) nr 92/2014; 2) Komisjoni rakendusmäärus (EL) 2016/1089"
"SeaConomy 900 (Punakaspruun, pruun); SeaConomy 900 (Red brown, Brown)";"1) Tsineeb; 2) Divaskoksiid";"1) 12122-67-7; 2) 1317-39-1";Tooteliik 21;1.01.2021;Jotun A/S;"1) 7,2%; 2) 30,3%";"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) nr 92/2014; 2) Komisjoni rakendusmäärus (EL) 2016/1089"
"SeaForce 30 M (punane, pruun); SeaForce 30 M (red, brown)";"1) Tsineeb; 2) Divaskoksiid";"1) 12122-67-7; 2) 1317-39-1";Tooteliik 21;1.01.2021;Jotun A/S;"1) 7,5%; 2) 21,1%";"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) nr 92/2014; 2) Komisjoni rakendusmäärus (EL) 2016/1089"
"SeaForce 60 M (punane, pruun); SeaForce 60 M (red, brown)";"1) Tsineeb; 2) Divaskoksiid";"1) 12122-67-7; 2) 1317-39-1";Tooteliik 21;1.01.2021;Jotun A/S;"1) 7,2%; 2) 29,6%";"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) nr 92/2014; 2) Komisjoni rakendusmäärus (EL) 2016/1089"
"SeaMate M (helepunane, tumepunane); SeaMate M (light red, dark red)";"1) Tsineeb; 2) Divaskoksiid; 3) Vaskpüritioon / Bis(1-hüdroksü-1H-püridiin-2-tionato-O, S)vask";"1) 12122-67-7; 2) 1317-39-1; 3) 14915-37-8";Tooteliik 21;1.01.2021;Jotun A/S;"1) 4,6%; 2) 32,6%; 3) 2,6%";"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) nr 92/2014; 2) Komisjoni rakendusmäärus (EL) 2016/1089; 3) Komisjoni rakendusmäärus (EL) nr 2015/984"
"SeaQuantum Classic S (helepunane, tumepunane); SeaQuantum Classic S (light red, dark red)";"1) Divaskoksiid; 2) Vaskpüritioon / Bis(1-hüdroksü-1H-püridiin-2-tionato-O, S)vask";"1) 1317-39-1; 2) 14915-37-8";Tooteliik 21;1.01.2021;Jotun A/S;"1) 43,9%; 2) 1,4%";"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/1089; 2) Komisjoni rakendusmäärus (EL) nr 2015/984"
AA1955, Laqvin Seal;"1) Propikonasool; 2) 3-jodo-2-propünüülbutüülkarbamaat /(IPBC); 3) Permetriin";"1) 60207-90-1; 2) 55406-53-6; 3) 52645-53-1";Tooteliik 8;1.05.2019;Sherwin-Williams Sweden AB;"1) 45 g/kg; 2) 15 g/kg; 3) 5 g/kg";"Kutsealaseks / tööstuslikuks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni direktiiv 2008/78/EÜ; 2) Komisjoni direktiiv 2008/79/EÜ; 3) Komisjoni rakendusmäärus (EL) nr 1090/2014"
AM0571/00, Fungicida per il trattamento del legno in soluzione acquosa;"1) Propikonasool; 2) 3-jodo-2-propünüülbutüülkarbamaat /(IPBC); 3) Permetriin";"1) 60207-90-1; 2) 55406-53-6; 3) 52645-53-1";Tooteliik 8;1.05.2019;Sherwin-Williams Italy S.R.L;"1) 45 g/kg; 2) 15 g/kg; 3) 5 g/kg";"Kutsealaseks / tööstuslikuks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni direktiiv 2008/78/EÜ; 2) Komisjoni direktiiv 2008/79/EÜ; 3) Komisjoni rakendusmäärus (EL) nr 1090/2014"
458-0003/2, Fungicida per il trattamento del legno in soluzione acquosa;"1) Propikonasool; 2) 3-jodo-2-propünüülbutüülkarbamaat /(IPBC); 3) Permetriin";"1) 60207-90-1; 2) 55406-53-6; 3) 52645-53-1";Tooteliik 8;1.05.2019;Sherwin-Williams Italy S.R.L;"1) 45 g/kg; 2) 15 g/kg; 3) 5 g/kg";"Kutsealaseks / tööstuslikuks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni direktiiv 2008/78/EÜ; 2) Komisjoni direktiiv 2008/79/EÜ; 3) Komisjoni rakendusmäärus (EL) nr 1090/2014"
"SANYTOL disinfectant kitchen; SANYTOL desinfitseeriv köögipuhastusvahend";Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 2;31.12.2024;Grupo AC Marca;0,0095;Tarbija kasutamiseks
ANIOSGEL 800;Etanool;64-17-5;Tooteliik 1;31.12.2024;"ATB International; Alates 21.12.2016; Laboratoires ANIOS";800 mg/g (838 ml/l);Tarbija ja kutsealaseks kasutamiseks
ANIOSRUB 800;Etanool;64-17-5;Tooteliik 1;31.12.2024;"ATB International; Alates 21.12.2016; Laboratoires ANIOS";800 mg/g (838 ml/l);Kutsealaseks kasutamiseks
TASKI Sani 4 in 1;Salitsüülhape;69-72-7;Tooteliik 2;31.12.2024;Diversey Polska Sp. z.o.o.;0,03;"Kutsealaseks kasutamiseks;"
Soft Care Des E Spray;Etanool;64-17-5;Tooteliik 1;31.12.2024;Diversey Polska Sp. z.o.o.;0,715;"Kutsealaseks kasutamiseks;"
Zal Perax II;"1) Peräädikhape; 2) Vesinikperoksiid";"1) 79-21-0; 2) 7722-84-1";Tooteliik 2, 3, 4;1.10.2020;Diversey Polska Sp. z.o.o.;"1) 5%; 2) 20%";"Kutsealaseks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2016/672 (TL 1, 2, 3, 4, 5, 6); 2) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6);"
KLERCIDE 70/30 IPA;Propaan-2-ool;67-63-0;Tooteliik 2;1.07.2019;"Ecolab SIA; Alates 19.12.2017; Ecolab sp. z o.o.";0,6264;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) nr 2015/407;"
COMPOMOL DC Blue Gel;D-glükoonhappe ja N,N′′-bis(4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG) / Kloorheksidiin diglükonaat;18472-51-0;Tooteliik 3;31.12.2024;Vetmasters SIA;0,0025;Kutsealaseks kasutamiseks
UPSILON;Atseetamipriid;135410-20-7 / 160430-64-8;Tooteliik 18;1.02.2020;Kwizda France SAS;0,001;"Tarbija kasutamiseks; Komisjoni rakendusmäärus (EL) 2018/1129"
AMP 2 CL;Atseetamipriid;135410-20-7 / 160430-64-8;Tooteliik 18;1.02.2020;Kwizda France SAS;0,002;"Tarbija kasutamiseks; Komisjoni rakendusmäärus (EL) 2018/1129"
AMP 2 MG;Atseetamipriid;135410-20-7 / 160430-64-8;Tooteliik 18;1.02.2020;Kwizda France SAS;0,002;"Tarbija kasutamiseks; Komisjoni rakendusmäärus (EL) 2018/1129"
SAKRET WOOD GUARD PRIMER;"1) Propikonasool; 2) 3-jodo-2-propünüülbutüülkarbamaat / (IPBC); 3) Permetriin";"1) 60207-90-1; 2) 55406-53-6; 3) 52645-53-1";Tooteliik 8;1.05.2019;SIA SAKRET PLUS;"1) 0,9%; 2) 0,3%; 3) 0,1%";"Tarbija kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni direktiiv 2008/78/EÜ; 2) Komisjoni direktiiv 2008/79/EÜ; 3) Komisjoni rakendusmäärus (EL) nr 1090/2014"
septLIQUID SENSITIVE;Propaan-2-ool;67-63-0;Tooteliik 1;1.07.2019;Hagleitner Hygiene International GmbH;631 g/kg;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) nr 2015/407"
"SANYTOL multipurpose disinfectant wipes; SANYTOL Universaalsed desinfitseerivad puhastuslapid";Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 2, 4;31.12.2024;Grupo AC Marca;0,005;Tarbija kasutamiseks
impralit-BSK effect;"1) C12–16-alküüldimetüülbensüülammooniumkloriid (ADBAC/BKC (C12–16)); 2) Propikonasool; 3) Tsüprokonasool; 4) 3-jodo-2-propünüülbutüülkarbamaat (IPBC); 5) N-didetsüül-N-dipolüetoksüammooniumboraat/didetsüülpolüoksetüülammooniumboraat (polümeerne betaiin)";"1) 68424-85-1; 2) 60207-90-1; 3) 94361-06-5; 4) 55406-53-6; 5) 214710-34-6";Tooteliik 8;31.12.2024;RÜTGERS Organics GmbH;"1) 5,0 %; 2) 1,2 %; 3) 0,2 %; 4) 2,0 %; 5) 1,0 %";"Kutsealaseks ja tööstuslikuks kasutamiseks; 1) Komisjoni direktiiv 2013/7/EL; 2) Komisjoni direktiiv 2008/78/EÜ; 3) Komisjoni rakendusmäärus (EL) nr 438/2014; 4) Komisjoni direktiiv 2008/79/EÜ"
Tego® 2000 VT25;N-C12–14(paarisarvulised)-alküültrimetüleendiamiinide ja kloroäädikhappe reaktsiooni saadused (amfolüüt 20);139734-65-9;Tooteliik 4;1.01.2021;Diversey Polska Sp. z.o.o.;0,2;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2016/1083;"
Desderman® pure;"1) Etanool; 2) Bifenüül-2-ool";"1) 64-17-5; 2) 90-43-7";Tooteliik 1;31.12.2024;Surgitech AS;"1) 79%; 2) 0,1%";"Kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2016/105;"
COMPOMOL DC Green;L-(+)-piimhape;79-33-4;Tooteliik 3;1.05.2019;Vetmasters SIA;0,002;"Kutsealaseks kasutamiseks; Komisjoni rakendusmäärus (EL) 2017/2002 (TL 2, 3, 4)"
Impralit-TSK 40;"1) C12–16-alküüldimetüülbensüülammooniumkloriid (ADBAC/BKC (C12–16)); 2) Propikonasool; 3) Tebukonasool; 4) IBPC; 5) Permetriin";"1) 68424-85-1; 2) 60207-90-1; 3) 107534-96-3; 4) 55406-53-6; 5) 52645-53-1";Tooteliik 8;1.05.2019;RÜTGERS Organics GmbH;"1) 5%; 2) 1%; 3) 1%; 4) 1%; 5) 2%";"Kutsealaseks kasutamiseks; Taotlus paralleelseks vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) nr 94/2014"
Dutrion Tablet (0,5g, 1,0g, 4,0g, 20g);Kloordioksiid (valmistatud in situ) lähteained naatriumklorit ja naatriumvesiniksulfaat;10049-04-4;Tooteliik 2, 3, 4, 5, 11, 12;31.12.2024;Duka Holding b.v.;0,002;Kutsealaseks kasutamiseks
KLERCIDE SPORICIDAL LOW RESIDUE PEROXIDE;Vesinikperoksiid;7722-84-1;Tooteliik 2;1.02.2020;"Ecolab SIA; Alates 19.12.2017; Ecolab sp. z o.o.";0,06;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) nr 2015/1730"
MoustiCare käevõru;Geraniool;106-24-1;Tooteliik 19;31.12.2024;UAB GENBA PHARMA;0,16;Tarbija kasutamiseks
ThermaCell® Anti-Mosquito II;Pralletriin;23031-36-9;Tooteliik 18;31.12.2024;"Jamone SWEDEN AB; Alates 17.04.2019; Thermacell Europe AB";0,1086;Tarbija kasutamiseks
BOMBEX® FARUMY®;"1) Tsüfenotriin ; 2) Pralletriin";"1) 39515-40-7; 2) 23031-36-9";Tooteliik 18;31.12.2024;"GAT Microencapsulation GmbH; Alates 13.09.2017:; Jesmond Holding AG;";"1) 100 g/l (10,7 %); 2) 10 g/l (1,1 %)";"Kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2018/1292"
ACTICIDE PLP 10;2-oktüül-2H-isotiasool-3-oon;26530-20-1;Tooteliik 7, 9;31.12.2024;"Thor Specialities (UK) Limited; Alates 25.10.2019; THOR Specialities (UK) Ltd Filial;";98,5 g/kg;Tööstuslikuks kasutamiseks
"VC17m Extra:; YBA762 Base Part A; YBA634 Hat Part B";"1) Vask; 2) Tsinkpüritioon";"1) 7440-50-8; 2) 13463-41-7";Tooteliik 21;31.12.2024;International Paint Ltd.;"1) 188 g/l (segus) ; 2) 44 g/l (segus)";"Tarbija kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/1088"
DESCODERM;Propaan-2-ool;67-63-0;Tooteliik 1;1.07.2019;Vivax OÜ;0,631;"Tarbija ja kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) nr 2015/407"
Cathelco Marine Growth Prevention System (MGPS);Vask;7440-50-8;Tooteliik 11;31.12.2024;Cathelco Ltd;Vase (Cu2+) ioonid, mis on loodud vasest kui elemendist (99,9% m/m) kontsentratsioonidel kuni 0,024 ml/l;Kutsealaseks kasutamiseks
"Hallitustõrje; Alates 28.12.2018; MELLERUD Hallitustõrje";Naatriumhüpokloritist vabanenud aktiivkloor;7681-52-9;Tooteliik 2;1.01.2022;MELLERUD CHEMIE GmbH;"4,9%; Alates 28.12.2018; 4,7 g/100g";"Tarbija ja kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
Kloorivaba hallitustõrje;Vesinikperoksiid;7722-84-1;Tooteliik 2;1.02.2020;MELLERUD CHEMIE GmbH;79 g/kg;"Tarbija ja kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1730"
Hallitusvastane vahend;2-oktüül-2H-isotiasool-3-oon;26530-20-1;Tooteliik 7, 10;31.12.2024;MELLERUD CHEMIE GmbH;0,0032;Tarbija ja kutsealaseks kasutamiseks
Vetikate ja liigse taimestiku eemaldamisvahend;C12–16-alküüldimetüülbensüülammooniumkloriid;68424-85-1;Tooteliik 2, 10;31.12.2024;MELLERUD CHEMIE GmbH;49,5 g/l;Tarbija ja kutsealaseks kasutamiseks
Divosan Omega HP VS42;"1) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin; 2) Didetsüüldimetüülammooniumkloriid";"1) 2372-82-9; 2) 7173-51-5";Tooteliik 4;31.12.2024;Diversey Polska Sp. z.o.o.;"1) 0,36%; 2) 0,25%";Kutsealaseks kasutamiseks
EnduroPlus;Naatriumhüpoklorit;7681-52-9;Tooteliik 4;1.01.2022;Diversey Polska Sp. z.o.o.;0,06;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
Oxivir Excel Foam;Vesinikperoksiid;7722-84-1;Tooteliik 2;1.02.2020;Diversey Polska Sp. z.o.o.;0,0036;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1730"
Oxivir Excel;Vesinikperoksiid;7722-84-1;Tooteliik 2;1.02.2020;Diversey Polska Sp. z.o.o.;0,072;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1730"
Oxivir Excel Wipe;Vesinikperoksiid;7722-84-1;Tooteliik 2;1.02.2020;Diversey Polska Sp. z.o.o.;0,0036;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/ 1730"
DEXID-70;"1) C12–14-alküületüülbensüülammooniumkloriid (ADEBAC (C12–14)); 2) C12–18-alküüldimetüülbensüülammooniumkloriid (ADBAC (C12–18)); Alates 1.09.2017:; 1) C12–18-alküüldimetüülbensüülammooniumkloriid (ADBAC (C12–18)); 2) Didetsüüldimetüülammooniumkloriid (DDAC)";"1) 85409-23-0; 2) 68391-01-5; Alates 1.09.2017:; 1) 68424-85-1; 2) 7173-51-5";"Tooteliik 2, 3, 4; Alates 1.09.2017:; Tooteliik 3, 4";31.12.2024;"Interchemie werken “De Adelaar” Eesti AS; Alates 1.09.2017:; Interchemie Werken De Adelaar Eesti AS";"1) 3,5%; 2) 3,5%; Alates 1.09.2017:; 1) 3,5%; 2) 3,5%";"Tarbija ja kutsealaseks kasutamiseks; Alates 1.09.2017:; Kutsealaseks kasutamiseks"
"Mida FOAM 193; Alates 08.08.2019; Mida FOAM 196 FI";Naatriumhüpoklorit;7681-52-9;Tooteliik 4;1.01.2022;Christeyns Baltic UAB;0,052;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
DrySan Oxy;Vesinikperoksiid;7722-84-1;Tooteliik 4;1.02.2020;"Ecolab SIA; Alates 19.12.2017; Ecolab sp. z o.o.";0,01;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1730"
DrySan Oxy Wipes;Vesinikperoksiid;7722-84-1;Tooteliik 4;1.02.2020;"Ecolab SIA; Alates 19.12.2017; Ecolab sp. z o.o.";0,01;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1730"
OxyDes Rapid;"1) Propaan-1-ool; 2) Vesinikperoksiid; Alates 19.12.2016; Vesinikperoksiid";"1) 71-23-8; 2) 7722-84-1; Alates 19.12.2016; 7722-84-1";Tooteliik 4;1.02.2020;"Ecolab SIA; Alates 19.12.2017; Ecolab sp. z o.o.";"1) 17,5%; 2) 2%; Alates 19.12.2016; 2%";"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1730"
OxyDes Maxi Wipes;"1) Propaan-1-ool; 2) Vesinikperoksiid; Alates 19.12.2016; Vesinikperoksiid";"1) 71-23-8; 2) 7722-84-1; Alates 19.12.2016; 7722-84-1";Tooteliik 4;1.02.2020;"Ecolab SIA; Alates 19.12.2017; Ecolab sp. z o.o.";"1) 17,5%; 2) 2%; Alates 19.12.2016; 2%";"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1730"
Manosan Oxy;Vesinikperoksiid;7722-84-1;Tooteliik 1;1.02.2020;"Ecolab SIA; Alates 19.12.2017; Ecolab sp. z o.o.";0,014;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1730"
HUWA-SAN TR-50;Vesinikperoksiid;7722-84-1;Tooteliik 2, 3, 4;1.02.2020;Roam Technology NV;49,0-49,9%;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1730"
Power Phaser (putukatõrjevahend hobustele);Ikaridiin;119515-38-7;Tooteliik 19;31.12.2024;Ieovet Dr. Jacoby GmbH&Co. KG;0,15;Tarbija kasutamiseks
Quick Fresh Active;Hõbe (nano);7440-22-4;Tooteliik 2;31.12.2024;Würth AS;0,03 g/kg;Kutsealaseks kasutamiseks
InsectoSec®;Ränidioksiid / kiiselguur;61790-53-2;Tooteliik 18;1.11.2021;Biofa AG;1;"Tarbija ja kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/794"
SANYTOL DESINFITSEERIV KÖÖGIPUHASTUSVAHEND FRESH;Vesinikperoksiid;7722-84-1;Tooteliik 2, 4;1.02.2020;Grupo AC Marca;0,015;"Tavatarbija kasutamiseks; Taotlus paralleelseks vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2015/1730"
"1) SANYTOL DESINFITSEERIV ÜLDPUHASTUSVAHEND FRESH; 2) SANYTOL DESINFITSEERIV VANNITOAPUHASTUSVAHEND FRESH; 3) SANYTOL DESINFITSEERIV PUHASTUSAINE PÕRANDATE JA PINDADE FRESH";Vesinikperoksiid;7722-84-1;Tooteliik 2, 4;1.02.2020;Grupo AC Marca;0,015;"Tavatarbija kasutamiseks; Taotlus paralleelseks vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2015/1730"
"SANYTOL desinfitseeriv plekieemaldaja; Alates 15.10.2019; SANYTOL DESINFITSEERIV PLEKIEEMALDAJA FRESH";Peräädikhape (in situ) saadud TAED (CAS nr 10543-57-4) ja naatriumperkarbonaadist (CAS nr 15630-89-4);79-21-0;Tooteliik 2;1.01.2022;Grupo AC Marca;"0,13 g/l; Alates 15.10.2019; 9,1 g/100g";"Tarbija kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1276"
"SANYTOL STAIN REMOVER WHITE; SANYTOL desinfitseeriv plekieemaldaja-valgendaja; Alates 15.10.2019; SANYTOL DESINFITSEERIV PLEKIEEMALDAJA-VALGENDI FRESH";Peräädikhape (in situ) saadud TAED (CAS nr 10543-57-4) ja naatriumperkarbonaadist (CAS nr 15630-89-4);79-21-0;Tooteliik 2;1.01.2022;Grupo AC Marca;"0,13 g/l; Alates 15.10.2019; 9,1 g/100g";"Tarbija kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1276"
BROS Sääsetõrjesuits I;Pralletriin;23031-36-9;Tooteliik 18;31.12.2024;BROS Sp. z o.o. Sp.k.;0,001;Tarbija kasutamiseks
Lonzagard DR 25aN;Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 2, 3, 4;31.12.2024;Lonza Cologne GmbH;69 g/kg;Kutsealaseks kasutamiseks
Lonzagard DR 70;"1) Didetsüüldimetüülammooniumkloriid; 2) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin";"1) 7173-51-5; 2) 2372-82-9";Tooteliik 2;31.12.2024;Lonza Cologne GmbH;"1) 64 g/kg; 2) 53,69 g/kg";Kutsealaseks kasutamiseks
MecDEET SHIELD mosquitos & ticks;"1) DEET / N,N- dietüül-meta-toluamiid; 2) Tsitriodiool ; Alates 28.06.2017; 1) DEET / N,N- dietüül-meta-toluamiid; 2) Eucalyptus citriodora õli, hüdreeritud, tsükliline";"1) 134-62-3; 2) 42822-86-6; Alates 28.06.2017; 1) 134-62-3; 2) 1245629-80-4";Tooteliik 19;31.12.2024;Beaphar BV;"1) 190 g/l; 2) 0,16 g/l";"Tarbija kasutamiseks; 1) Komisjoni direktiiv 2010/51/EL (TL19)"
SPECTRUS NX1102;2,2-dibromo-2-tsüanoatseetamiid;10222-01-2;Tooteliik 11;31.12.2024;"GE Water & Process Technologies BVBA ; Alates 29.03.2018; SUEZ Water Technologies & Solutions Belgium BVBA";255 g/l;Kutsealaseks ja tööstuslikuks kasutamiseks
Spectrum™ RX7848 MICROBIOCIDE;"1) Glutaaraldehüüd; 2) 5-kloro-2-metüül-2H- isotiasool-3-ooni ja 2-metüül-2H-isotiasool-3-ooni (vahekorras 3 : 1) sisaldav reaktsioonisegu / C(M)IT/MIT (3 : 1)";"1) 111-30-8; 2) 55965-84-9";Tooteliik 6, 12;1.07.2020;Solenis Netherlands BV;"1) 75 g/kg; 2) 18,9 g/kg";"Kutsealaseks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2015/1759; 2) Komisjoni rakendusmäärus (EL) 2016/131"
Biosperse™ 2545 MICROBIOCIDE;Glutaaraldehüüd;111-30-8;Tooteliik 11;1.10.2019;Solenis Netherlands BV;240 g/kg;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1759"
Spectrum™ RX9724 MICROBIOCIDE;Glutaaraldehüüd;111-30-8;Tooteliik 12;1.10.2019;Solenis Netherlands BV;240 g/kg;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1759"
Biosperse™ 2544 MICROBIOCIDE;Glutaaraldehüüd;111-30-8;Tooteliik 11;1.10.2019;Solenis Netherlands BV;135 g/kg;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1759"
Spectrum™ RX7813 MICROBIOCIDE;Glutaaraldehüüd;111-30-8;Tooteliik 12;1.10.2019;Solenis Netherlands BV;135 g/kg;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2015/1759"
"1) SANYTOL CLOTHES DISINFECTANT; 2) SANYTOL CLOTHES DISINFECTANT ALOE VERA";Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 2;31.12.2024;Grupo AC Marca;0,027;"Tarbija kasutamiseks;"
SWELL EXTRA CHG;D-glükoonhappe ja N,N′′-bis(4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG);18472-51-0;Tooteliik 1;31.12.2024;Chemi-Pharm AS;0,02;Kutsealaseks kasutamiseks
COMPOMOL DC Blue Foam;D-glükoonhappe ja N,N′′-bis(4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG);18472-51-0;Tooteliik 3;31.12.2024;Vetmasters SIA;0,0025;Kutsealaseks kasutamiseks
"Intercept 8500 LPP854 (pruun); Intercept 8500 LPP857 (punane)";"1) Vaskpüritioon; 2) Divaskoksiid";"1) 14915-37-8; 2) 1317-39-1";Tooteliik 21;1.01.2021;International Paint Ltd.;"1) 63,94 g/l (pruun); 63,96 g/l (punane); 2) 910,18 g/l (pruun); 912,17 g/l (punane)";"Kutsealaseks kasutamiseks; Taotlus kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2015/984; 2) Komisjoni rakendusmäärus (EL) 2016/1089"
CHEMISEPT IPA;"1) Etanool; 2) Propaan-2-ool / isopropanool";"1) 64-17-5; 2) 67-63-0";Tooteliik 1;31.12.2024;Chemi-Pharm AS;"1) 15%; 2) 60%";"Kutsealaseks kasutamiseks; 2) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
CHEMISEPT IPA GEL;"1) Etanool; 2) Propaan-2-ool / isopropanool";"1) 64-17-5; 2) 67-63-0";Tooteliik 1;31.12.2024;Chemi-Pharm AS;"1) 15%; 2) 60%";"Kutsealaseks kasutamiseks; 2) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
MIRECIDE-NM/05;"1) Tetrahüdro-1,3,4,6-tetrakis(hüdroksümetüül)imidaso[4,5-d]imidasool-2,5(1H,3H)- dioon; 2) 1,2-bensisotiasool-3(2H)-oon; 3) 5-kloro-2-metüül-2H-isotiasool-3-ooni ja 2-metüül-2H- isotiasool-3-ooni segu";"1) 5395-50-6; 2) 2634-33-5; 3) 55965-84-9";Tooteliik 6;31.12.2024;LABORATORIOS MIRET, S.A.;"1) 13,5%; 2) 12,5%; 3) 0,73%";"Kutsealaseks ja tööstuslikuks kasutamiseks; 3) Komisjoni reakendusmäärus (EL) 2016/131 (TL2, 4, 6, 11, 12, 13)"
